SLC25A26	ENSG00000261657
C21orf91	ENSG00000154642
OIP5-AS1	ENSG00000247556
MROH1	ENSG00000260383
ZNF271	ENSG00000257267
CRTC3	ENSG00000140577
NRBF2P1	ENSG00000267797
MIR187	ENSG00000207797
BOP1	ENSG00000261236
MIR3929	ENSG00000265641
ZFYVE19	ENSG00000166140
CSTF1	ENSG00000101138
CHODL	ENSG00000154645
VPRBP	ENSG00000260623
MIR4318	ENSG00000266530
RN7SKP182	ENSG00000222704
RNU6-706P	ENSG00000253038
LINC00669	ENSG00000267374
RNY4P24	ENSG00000199605
LINC00345	ENSG00000235660
WFDC10A	ENSG00000180305
RPL7AP66	ENSG00000175886
MIR5583-1	ENSG00000266148
RNU6-1169P	ENSG00000200407
CYFIP1	ENSG00000068793
TCEB1P2	ENSG00000259838
RNU6-1242P	ENSG00000212354
WFDC11	ENSG00000180083
TPTE2P3	ENSG00000198384
MIR626	ENSG00000207766
RPL17P45	ENSG00000267664
RNU7-145P	ENSG00000238333
WFDC10B	ENSG00000182931
TMPRSS15	ENSG00000154646
RNA5SP393	ENSG00000200293
MIR4310	ENSG00000264850
WFDC13	ENSG00000168634
MIR1827	ENSG00000221476
SPINT4	ENSG00000149651
HSF1	ENSG00000261132
LINC00907	ENSG00000267586
RAD54L2	ENSG00000261443
IDH3B	ENSG00000101365
MRPS31P4	ENSG00000250299
KATNAL2	ENSG00000167216
WFDC3	ENSG00000124116
MIR759	ENSG00000211579
PPIAP26	ENSG00000150276
LINC01065	ENSG00000237092
PCDH8P1	ENSG00000225510
CASS4	ENSG00000087589
RN7SL618P	ENSG00000241613
RPL18P11	ENSG00000213307
LINC00558	ENSG00000261517
LINC00458	ENSG00000234787
RPL21P116	ENSG00000243711
RNU6-415P	ENSG00000252061
MIR627	ENSG00000207712
RPL13AP25	ENSG00000136149
NCAM2	ENSG00000154654
MIR5007	ENSG00000264387
HNF4GP1	ENSG00000228611
SPATA2P1	ENSG00000228319
LINC00161	ENSG00000226935
RN7SKP6	ENSG00000201665
PRR20FP	ENSG00000271140
RNU6-872P	ENSG00000251894
MTCO2P3	ENSG00000230009
HSPD1P7	ENSG00000215005
PPP1R14D	ENSG00000166143
SLC25A5P4	ENSG00000234421
THUMPD1P1	ENSG00000215317
RPL23P2	ENSG00000176054
MIR184	ENSG00000207695
HNRNPCP3	ENSG00000259419
RPL31P53	ENSG00000225352
RNA5SP30	ENSG00000202422
LINC00374	ENSG00000232954
RPL12P9	ENSG00000232687
RNY4P29	ENSG00000222733
CTAGE16P	ENSG00000214335
DGAT1	ENSG00000261698
DNAJA1P1	ENSG00000223717
HMGN2P39	ENSG00000214281
FAM227B	ENSG00000166262
POLR3KP1	ENSG00000232647
LINC00189	ENSG00000215533
RPP40P2	ENSG00000271190
RNU7-88P	ENSG00000239003
DIAPH3-AS1	ENSG00000227528
RN7SL375P	ENSG00000265745
DIAPH3-AS2	ENSG00000223815
MC5R	ENSG00000176136
RNY4P28	ENSG00000202151
LINC00434	ENSG00000227336
MIR4758	ENSG00000265329
TARDBPP2	ENSG00000238213
RNA5SP31	ENSG00000223076
EIF4A1P6	ENSG00000236608
SERPINH1P1	ENSG00000229207
LINC00378	ENSG00000225249
MC2R	ENSG00000185231
RN7SKP24	ENSG00000251697
RNY3P5	ENSG00000206854
LACTB	ENSG00000103642
RNY4P31	ENSG00000253018
MIR3169	ENSG00000266663
GAPDHP14	ENSG00000236056
RAC1P8	ENSG00000234033
C20orf166-AS1	ENSG00000174403
CNTFR-AS1	ENSG00000237159
BACH1-IT1	ENSG00000248476
LINC00358	ENSG00000229578
BLM	ENSG00000197299
MIR1-1	ENSG00000199017
LINC01075	ENSG00000230142
MIR133A2	ENSG00000207764
RPL7P3	ENSG00000226094
LINC01074	ENSG00000227611
RNA5SP454	ENSG00000253040
RNU6-443P	ENSG00000202250
LINC00459	ENSG00000229307
MRPL39	ENSG00000154719
FAM205B	ENSG00000257198
RPL32P28	ENSG00000232105
RNA5SP455	ENSG00000202060
KRT8P5	ENSG00000267573
SCRT1	ENSG00000261678
SQSTM1P1	ENSG00000271465
LINC00448	ENSG00000228669
LINC00376	ENSG00000227564
FAM205CP	ENSG00000187791
MIR4319	ENSG00000265957
ZNF519	ENSG00000175322
LINC00395	ENSG00000231061
LINC00686	ENSG00000237687
OR7E156P	ENSG00000215430
CTSZ	ENSG00000101160
LINC00659	ENSG00000228705
GLULP4	ENSG00000178723
RNU6-81P	ENSG00000202478
OGFR-AS1	ENSG00000229873
RTFDC1	ENSG00000022277
PPP1R2P10	ENSG00000213232
YWHAZP6	ENSG00000215199
DPH3P1	ENSG00000233838
SYF2P2	ENSG00000233148
RN7SL338P	ENSG00000241568
ARF4P2	ENSG00000236527
BACH1-AS1	ENSG00000232118
OR7E104P	ENSG00000215432
BACH1-IT2	ENSG00000228817
NFYAP1	ENSG00000237849
BACH1-IT3	ENSG00000234293
RNU6-667P	ENSG00000252995
SPINT1	ENSG00000166145
LINC00355	ENSG00000227674
LINC00029	ENSG00000125514
LGMNP1	ENSG00000214269
RN7SKP26	ENSG00000222179
GRIK1-AS1	ENSG00000174680
LINC01056	ENSG00000237119
STARP1	ENSG00000214266
RNU6-1278P	ENSG00000251939
HAR1B	ENSG00000231133
ATP8B5P	ENSG00000179766
LINC00307	ENSG00000227342
HNRNPA3P5	ENSG00000236565
HAR1A	ENSG00000225978
RPL8P2	ENSG00000225267
LINC01052	ENSG00000234767
MIR548X2	ENSG00000263581
MIR4704	ENSG00000263561
MIR124-3	ENSG00000207598
TRIM60P19	ENSG00000235737
EBF4	ENSG00000088881
MIR3196	ENSG00000266463
LINC00927	ENSG00000259361
PCDH9-AS1	ENSG00000234527
MIR4326	ENSG00000266104
RNU7-87P	ENSG00000238500
RNU6-994P	ENSG00000222439
PCDH9-AS2	ENSG00000228842
ZFAND6P1	ENSG00000244213
PCDH9-AS3	ENSG00000225263
RPL36AP33	ENSG00000235619
PCDH9-AS4	ENSG00000233840
RPSAP53	ENSG00000214263
MIR4667	ENSG00000263892
RNU6-188P	ENSG00000201077
LINC00364	ENSG00000230040
TUBB1	ENSG00000101162
BCRP9	ENSG00000271287
RMRP	ENSG00000269900
NPM1P22	ENSG00000227969
FGF7	ENSG00000140285
OR7E111P	ENSG00000231667
RN7SL22P	ENSG00000243136
OR7E33P	ENSG00000226537
EIF4EBP2P2	ENSG00000260282
POTEC	ENSG00000183206
ELL2P3	ENSG00000234765
RNU1-134P	ENSG00000199805
MIR941-2	ENSG00000216141
HNRNPA1P18	ENSG00000229910
MIR941-3	ENSG00000216195
OR13E1P	ENSG00000236083
DNTTIP1	ENSG00000101457
MIR941-1	ENSG00000215946
KRT8P50	ENSG00000260799
NDUFA5P4	ENSG00000233659
TCEB3CL2	ENSG00000266996
RPL37P21	ENSG00000236433
MIR1914	ENSG00000272045
FDPSP4	ENSG00000254793
JAM2	ENSG00000154721
LINC00961	ENSG00000235387
MIR647	ENSG00000207554
RPS3AP52	ENSG00000230405
RPS3AP47	ENSG00000205871
SDAD1P2	ENSG00000230750
RPL12P34	ENSG00000229824
SPCS2P1	ENSG00000260928
SLC52A2	ENSG00000261042
LINC00176	ENSG00000196421
PGAM1P2	ENSG00000225639
ATP5E	ENSG00000124172
TCEB3CL	ENSG00000234298
RN7SL761P	ENSG00000243671
RNU6-1131P	ENSG00000201825
ZDHHC20P4	ENSG00000232380
YBX1P10	ENSG00000213866
SNRPFP3	ENSG00000225501
ATP5HP1	ENSG00000261679
RPS27L	ENSG00000185088
LINC00383	ENSG00000237534
OR13C6P	ENSG00000179443
CICP4	ENSG00000232852
LINC00401	ENSG00000235221
RN7SL487P	ENSG00000243871
MIR4527	ENSG00000266582
TCEB3C	ENSG00000183791
RNU6-554P	ENSG00000222398
SRSF1P1	ENSG00000224640
RNU6-610P	ENSG00000206991
LINC00266-1	ENSG00000149656
OR2S1P	ENSG00000228307
PDIA3P2	ENSG00000224677
RNY3P10	ENSG00000207495
TPMTP1	ENSG00000267156
PSMC1P13	ENSG00000232314
OR2AM1P	ENSG00000236110
MIR5572	ENSG00000266542
RNU6-380P	ENSG00000222139
RNU4-53P	ENSG00000222760
ATXN8OS	ENSG00000230223
FAT1P1	ENSG00000217809
HMGB3P24	ENSG00000215283
MIR549	ENSG00000208003
TCEB3B	ENSG00000206181
RNU6-708P	ENSG00000206944
RNU6-54P	ENSG00000202433
KRTAP13-6P	ENSG00000250973
MIR4475	ENSG00000266255
RNU7-191P	ENSG00000253033
SOGA2P1	ENSG00000226554
MIR4327	ENSG00000265007
FOXD4	ENSG00000170122
RNA5SP456	ENSG00000200872
LINC00348	ENSG00000226846
KRTAP13-5P	ENSG00000233640
MIR4540	ENSG00000264922
MIR4743	ENSG00000266276
MIR4476	ENSG00000265368
RABEPKP1	ENSG00000225801
KRTAP19-9P	ENSG00000237841
MIR4514	ENSG00000265855
RPS11P1	ENSG00000235544
H3F3BP1	ENSG00000236534
KRTAP19-10P	ENSG00000235312
ANP32BP3	ENSG00000259461
RPL21P109	ENSG00000237816
KRTAP19-11P	ENSG00000236612
PGAM3P	ENSG00000237256
RPL35AP31	ENSG00000233460
LINC00687	ENSG00000228422
KRTAP21-4P	ENSG00000236400
RPS10P21	ENSG00000232881
KRTAP8-2P	ENSG00000233036
RNA5SP32	ENSG00000200037
RN7SKP111	ENSG00000222281
KRTAP8-3P	ENSG00000227840
RAB8B	ENSG00000166128
